model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,representation,window_size_frames,seed,balancing
random_forest,r0_flat,1,test,alert,0.8329238329238329,0.9347426470588235,0.880900822867042,1088,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,1,test,fatigue,0.0,0.0,0.0,67,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,1,test,distraction,0.7188498402555911,0.5936675461741425,0.6502890173410405,379,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,1,validation,alert,0.8895078922934077,0.9447731755424064,0.9163079866092778,1014,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,1,validation,fatigue,0.0,0.0,0.0,4,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,1,validation,distraction,0.4563106796116505,0.29012345679012347,0.35471698113207545,162,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,1,test,alert,0.8408903544929925,0.9375,0.8865710560625815,1088,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,1,test,fatigue,0.0,0.0,0.0,67,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,1,test,distraction,0.735202492211838,0.6226912928759895,0.6742857142857143,379,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,2,validation,alert,0.9222222222222223,0.07685185185185185,0.14188034188034188,1080,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,2,validation,fatigue,0.005555555555555556,0.058823529411764705,0.01015228426395939,17,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,2,validation,distraction,0.05647840531561462,0.6710526315789473,0.1041879468845761,76,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,2,test,alert,0.45714285714285713,0.010184595798854232,0.019925280199252802,1571,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,2,test,fatigue,,,,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,2,test,distraction,0.06530089628681178,0.34812286689419797,0.10997304582210242,293,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,2,validation,alert,0.9355168884339816,0.8462962962962963,0.8886728245017015,1080,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,2,validation,fatigue,0.02702702702702703,0.058823529411764705,0.037037037037037035,17,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,2,validation,distraction,0.15723270440251572,0.32894736842105265,0.2127659574468085,76,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,2,test,alert,0.9242227979274611,0.9083386378103119,0.9162118780096308,1571,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,2,test,fatigue,,,,0,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,2,test,distraction,0.6107142857142858,0.5836177474402731,0.5968586387434555,293,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,2,validation,alert,0.9346978557504874,0.887962962962963,0.9107312440645774,1080,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,2,validation,fatigue,0.0,0.0,0.0,17,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,2,validation,distraction,0.1780821917808219,0.34210526315789475,0.23423423423423423,76,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,2,test,alert,0.9304237824161923,0.936346276257161,0.9333756345177665,1571,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,2,test,fatigue,,,,0,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,2,test,distraction,0.6466431095406361,0.6245733788395904,0.6354166666666666,293,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,2,validation,alert,0.9352657004830918,0.8962962962962963,0.9153664302600473,1080,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,2,validation,fatigue,0.0,0.0,0.0,17,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,2,validation,distraction,0.18840579710144928,0.34210526315789475,0.24299065420560748,76,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,2,test,alert,0.9302915082382763,0.9344366645448758,0.9323594791997459,1571,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,2,test,fatigue,,,,0,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none
